Disks 	 Points	 Total Point 	 Pi 	 Error 	 Time
10 	 10 	 100 	 3.08 	 0.061592653589793045 	 0.0001439999999999983
10 	 100 	 1000 	 3.3360000000000007 	 0.19440734641020763 	 0.0010489999999999979
10 	 1000 	 10000 	 3.1644000000000005 	 0.02280734641020743 	 0.010414
10 	 10000 	 100000 	 3.1384 	 0.0031926535897932595 	 0.10420600000000001
100 	 10 	 1000 	 3.1080000000000014 	 0.03359265358979169 	 0.0011210000000000109
100 	 100 	 10000 	 3.1324000000000005 	 0.009192653589792599 	 0.010284000000000015
100 	 1000 	 100000 	 3.1435999999999997 	 0.002007346410206612 	 0.103681
100 	 10000 	 1000000 	 3.1433280000000003 	 0.001735346410207228 	 1.045752
1000 	 10 	 10000 	 3.120799999999993 	 0.020792653589800203 	 0.010977000000000015
1000 	 100 	 100000 	 3.1415999999999897 	 7.346410196618081e-06 	 0.10253499999999982
1000 	 1000 	 1000000 	 3.1403639999999906 	 0.0012286535898025086 	 1.0410599999999999
1000 	 10000 	 10000000 	 3.1419536000000003 	 0.00036094641020723017 	 10.422085
