Disks 	 Points	 Total Point 	 Pi 	 Error 	 Time
10 	 10 	 100 	 3.0400000000000005 	 0.10159265358979264 	 0.00014699999999999783
10 	 100 	 1000 	 3.12 	 0.02159265358979301 	 0.001076999999999998
10 	 1000 	 10000 	 3.1608 	 0.019207346410206938 	 0.010750000000000003
10 	 10000 	 100000 	 3.13728 	 0.004312653589793047 	 0.107516
10 	 100000 	 1000000 	 3.142624 	 0.001031346410206968 	 1.077453
50 	 10 	 500 	 3.1679999999999997 	 0.02640734641020659 	 0.0005969999999999587
50 	 100 	 5000 	 3.1600000000000006 	 0.01840734641020747 	 0.005298999999999943
50 	 1000 	 50000 	 3.1320799999999998 	 0.009512653589793363 	 0.053496999999999906
50 	 10000 	 500000 	 3.1465600000000005 	 0.004967346410207352 	 0.5378620000000001
50 	 100000 	 5000000 	 3.1415848000000004 	 7.853589792716775e-06 	 5.381241999999999
100 	 10 	 1000 	 3.1800000000000006 	 0.03840734641020749 	 0.0011630000000000251
100 	 100 	 10000 	 3.1628000000000007 	 0.021207346410207606 	 0.010568000000000133
100 	 1000 	 100000 	 3.145320000000001 	 0.003727346410207666 	 0.10716899999999985
100 	 10000 	 1000000 	 3.1403680000000005 	 0.0012246535897926236 	 1.0780189999999994
100 	 100000 	 10000000 	 3.1426144000000007 	 0.0010217464102075802 	 10.775658
500 	 10 	 5000 	 3.1455999999999995 	 0.004007346410206392 	 0.005674000000002621
500 	 100 	 50000 	 3.152479999999999 	 0.010887346410205723 	 0.05285700000000304
500 	 1000 	 500000 	 3.1402719999999986 	 0.001320653589794496 	 0.5353120000000011
500 	 10000 	 5000000 	 3.1421063999999976 	 0.0005137464102045186 	 5.3816450000000025
500 	 100000 	 50000000 	 3.1417547999999997 	 0.00016214641020662057 	 53.810097
1000 	 10 	 10000 	 3.1411999999999907 	 0.0003926535898024497 	 0.011319999999997776
1000 	 100 	 100000 	 3.1431599999999893 	 0.0015673464101961798 	 0.10552799999999252
1000 	 1000 	 1000000 	 3.141507999999998 	 8.465358979492521e-05 	 1.0705939999999998
1000 	 10000 	 10000000 	 3.142159600000003 	 0.0005669464102098232 	 10.748309000000006
1000 	 100000 	 100000000 	 3.1416490399999994 	 5.6386410206332727e-05 	 108.45618
5000 	 10 	 50000 	 3.138800000000063 	 0.002792653589730243 	 0.0573620000000119
5000 	 100 	 500000 	 3.1430160000000393 	 0.0014233464102462179 	 0.5350190000000055
5000 	 1000 	 5000000 	 3.139918399999989 	 0.00167425358980422 	 5.461713000000003
5000 	 10000 	 50000000 	 3.141675360000026 	 8.270641023289116e-05 	 54.444253
5000 	 100000 	 500000000 	 3.1416294000000287 	 3.674641023554415e-05 	 539.282145
10000 	 10 	 100000 	 3.145199999999949 	 0.0036073464101558095 	 0.11324999999999363
10000 	 100 	 1000000 	 3.1402840000001007 	 0.0013086535896924545 	 1.062133000000017
10000 	 1000 	 10000000 	 3.1420339999999882 	 0.00044134641019510923 	 10.756623999999988
10000 	 10000 	 100000000 	 3.1415969599999443 	 4.306410151144746e-06 	 107.73782500000004
10000 	 100000 	 1000000000 	 3.1416611359999735 	 6.8482410180426e-05 	 1079.645677
