Disks 	 Points	 Total Point 	 Pi 	 Error 	 Time
10 	 10 	 100 	 3.3200000000000003 	 0.17840734641020717 	 0.0001460000000000003
50 	 10 	 500 	 3.167999999999999 	 0.0264073464102057 	 0.0005779999999999987
100 	 10 	 1000 	 3.219999999999999 	 0.07840734641020575 	 0.001132000000000001
500 	 10 	 5000 	 3.196799999999997 	 0.05520734641020386 	 0.005634
1000 	 10 	 10000 	 3.1575999999999858 	 0.016007346410192635 	 0.011262000000000001
5000 	 10 	 50000 	 3.128560000000063 	 0.01303265358973027 	 0.055888
10000 	 10 	 100000 	 3.1477599999999573 	 0.006167346410164143 	 0.111704
50000 	 10 	 500000 	 3.137136000000463 	 0.004456653589330006 	 0.558081
100000 	 10 	 1000000 	 3.1450960000004486 	 0.003503346410655528 	 1.118381
5000000 	 10 	 50000000 	 3.1418536799395254 	 0.0002610263497322407 	 56.072849999999995
10000000 	 10 	 100000000 	 3.141808560039526 	 0.00021590644973290551 	 111.885436
